frequencia_hz,amplitude_dbm
0,8.406249984
779510,-20.281249984
1559020,-85.937500032
2338530,-85.437500000
3118040,-83.968750016
3897550,-88.000000000
4677060,-85.031250000
5456570,-83.562499968
6236080,-84.593750016
7015590,-85.593750016
7795100,-86.625000000
8574610,-84.687500032
9354120,-87.687500032
10133630,-88.218750000
10913140,-89.750000000
11692650,-88.281249984
12472160,-90.312500000
13251670,-87.843750016
14031180,-88.343750016
14810690,-86.406249984
15590200,-87.906249984
16369710,-90.968750016
17149220,-86.968750016
17928731,-91.500000000
18708241,-85.531249984
19487751,-89.562499968
20267261,-86.593750016
21046771,-86.062500000
21826281,-92.562499968
22605791,-90.500000000
23385301,-91.000000000
24164811,-92.468750016
24944321,-88.437500000
25723831,-88.406249984
26503341,-85.875000000
27282851,-87.343750016
28062361,-85.312500000
28841871,-85.812499968
29621381,-87.281249984
30400891,-88.250000000
31180401,-90.250000000
31959911,-90.750000000
32739421,-89.750000000
33518931,-91.281249984
34298441,-88.781249984
35077951,-89.781249984
35857461,-88.812499968
36636971,-90.812499968
37416481,-88.312500000
38195991,-86.312500000
38975501,-86.343750016
39755011,-85.843750016
40534521,-89.343750016
41314031,-87.375000000
42093541,-82.875000000
42873051,-88.375000000
43652561,-89.375000000
44432071,-88.906249984
45211581,-86.906249984
45991091,-87.406249984
46770601,-89.437500000
47550111,-89.437500000
48329621,-87.937500032
49109131,-88.968750016
49888641,-89.968750016
50668151,-86.968750016
51447661,-88.500000000
52227171,-89.500000000
53006682,-86.500000000
53786192,-91.000000000
54565702,-87.531249984
55345212,-87.031250000
56124722,-87.031250000
56904232,-89.531249984
57683742,-89.062500000
58463252,-88.562499968
59242762,-86.062500000
60022272,-88.093750000
60801782,-88.593750016
61581292,-87.093750000
62360802,-86.625000000
63140312,-88.125000000
63919822,-86.125000000
64699332,-87.625000000
65478842,-83.656249984
66258352,-87.656249984
67037862,-83.656249984
67817372,-82.656249984
68596882,-85.187500000
69376392,-85.187500000
70155902,-80.187500000
70935412,-81.718750016
71714922,-81.218750000
72494432,-82.718750016
73273942,-83.250000000
74053452,-85.750000000
74832962,-85.250000000
75612472,-83.281249984
76391982,-83.781249984
77171492,-86.281249984
77951002,-87.281249984
78730512,-85.812499968
79510022,-87.312500000
80289532,-84.812499968
81069042,-83.812499968
81848552,-84.843750016
82628062,-84.843750016
83407572,-82.843750016
84187082,-82.875000000
84966592,-83.375000000
85746102,-81.875000000
86525612,-84.875000000
87305122,-84.406249984
88084633,-83.406249984
88864143,-86.906249984
89643653,-85.437500000
90423163,-85.437500000
91202673,-80.937500032
91982183,-78.437500000
92761693,-76.468750016
93541203,-76.968750016
94320713,-73.468750016
95100223,-78.500000000
95879733,-78.000000000
96659243,-79.000000000
97438753,-82.000000000
98218263,-84.531249984
98997773,-82.531249984
99777283,-83.531249984
100556793,-81.062500000
101336303,-80.562499968
102115813,-77.562499968
102895323,-78.562499968
103674833,-78.062500000
104454343,-83.031250000
105233853,-84.031250000
106013363,-83.031250000
106792873,-83.531249984
107572383,-86.531249984
108351893,-86.531249984
109131403,-84.500000000
109910913,-86.500000000
110690423,-85.500000000
111469933,-85.500000000
112249443,-83.000000000
113028953,-85.968750016
113808463,-87.468750016
114587973,-84.468750016
115367483,-85.468750016
116146993,-84.968750016
116926503,-82.968750016
117706013,-81.937500032
118485523,-81.937500032
119265033,-84.937500032
120044543,-84.437500000
120824053,-86.937500032
121603563,-85.937500032
122383073,-84.406249984
123162584,-87.406249984
123942094,-86.406249984
124721604,-85.406249984
125501114,-88.906249984
126280624,-86.875000000
127060134,-86.875000000
127839644,-87.375000000
128619154,-90.375000000
129398664,-87.375000000
130178174,-90.875000000
130957684,-87.843750016
131737194,-88.343750016
132516704,-86.343750016
133296214,-84.343750016
134075724,-85.343750016
134855234,-86.312500000
135634744,-85.812499968
136414254,-87.312500000
137193764,-87.812499968
137973274,-85.812499968
138752784,-85.281249984
139532294,-85.281249984
140311804,-84.281249984
141091314,-85.781249984
141870824,-85.281249984
142650334,-87.281249984
143429844,-87.250000000
144209354,-90.250000000
144988864,-89.750000000
145768374,-87.750000000
146547884,-90.250000000
147327394,-88.718750016
148106904,-87.718750016
148886414,-87.718750016
149665924,-85.218750000
150445434,-86.218750000
151224944,-87.218750000
152004454,-88.187500000
152783964,-88.187500000
153563474,-86.687500032
154342984,-85.687500032
155122494,-88.687500032
155902004,-85.656249984
156681514,-84.656249984
157461024,-85.156250000
158240535,-86.656249984
159020045,-86.156250000
159799555,-86.656249984
160579065,-89.125000000
161358575,-85.625000000
162138085,-86.125000000
162917595,-82.593750016
163697105,-83.593750016
164476615,-86.593750016
165256125,-83.062500000
166035635,-84.562499968
166815145,-86.062500000
167594655,-86.531249984
168374165,-87.031250000
169153675,-85.031250000
169933185,-88.031250000
170712695,-87.500000000
171492205,-86.000000000
172271715,-86.000000000
173051225,-83.468750016
173830735,-82.468750016
174610245,-84.468750016
175389755,-84.937500032
176169265,-87.437500000
176948775,-86.437500000
177728285,-89.406249984
178507795,-85.406249984
179287305,-84.906249984
180066815,-84.875000000
180846325,-85.875000000
181625835,-80.875000000
182405345,-85.875000000
183184855,-89.343750016
183964365,-88.343750016
184743875,-87.343750016
185523385,-86.312500000
186302895,-86.312500000
187082405,-87.812499968
187861915,-90.281249984
188641425,-91.281249984
189420935,-88.281249984
190200445,-86.750000000
190979955,-88.750000000
191759465,-90.250000000
192538976,-88.218750000
193318486,-93.218750000
194097996,-93.718750016
194877506,-87.718750016
195657016,-89.687500032
196436526,-91.187500000
197216036,-90.687500032
197995546,-90.156250000
198775056,-91.156250000
199554566,-89.156250000
200334076,-90.125000000
201113586,-89.625000000
201893096,-90.625000000
202672606,-90.125000000
203452116,-87.093750000
204231626,-90.093750000
205011136,-87.093750000
205790646,-87.562499968
206570156,-86.062500000
207349666,-91.031250000
208129176,-87.031250000
208908686,-86.031250000
209688196,-88.031250000
210467706,-88.000000000
211247216,-86.500000000
212026726,-91.000000000
212806236,-84.968750016
213585746,-87.968750016
214365256,-88.968750016
215144766,-89.468750016
215924276,-90.437500000
216703786,-88.437500000
217483296,-88.906249984
218262806,-89.906249984
219042316,-89.906249984
219821826,-88.906249984
220601336,-91.875000000
221380846,-90.875000000
222160356,-90.875000000
222939866,-89.843750016
223719376,-89.343750016
224498886,-87.343750016
225278396,-89.812499968
226057906,-89.812499968
226837416,-89.312500000
227616927,-91.281249984
228396437,-87.281249984
229175947,-87.281249984
229955457,-86.250000000
230734967,-87.250000000
231514477,-88.250000000
232293987,-86.250000000
233073497,-89.250000000
233853007,-87.750000000
234632517,-90.750000000
235412027,-90.250000000
236191537,-90.250000000
236971047,-88.250000000
237750557,-88.781249984
238530067,-88.781249984
239309577,-88.281249984
240089087,-90.281249984
240868597,-87.781249984
241648107,-89.781249984
242427617,-91.281249984
243207127,-87.781249984
243986637,-87.781249984
244766147,-86.781249984
245545657,-88.312500000
246325167,-88.312500000
247104677,-89.312500000
247884187,-87.812499968
248663697,-87.312500000
249443207,-88.812499968
250222717,-86.312500000
251002227,-86.312500000
251781737,-88.812499968
252561247,-90.312500000
253340757,-87.343750016
254120267,-88.343750016
254899777,-89.843750016
255679287,-87.843750016
256458797,-88.343750016
257238307,-88.843750016
258017817,-89.843750016
258797327,-87.343750016
259576837,-89.343750016
260356347,-89.375000000
261135857,-87.875000000
261915367,-90.375000000
262694878,-86.875000000
263474388,-90.875000000
264253898,-86.375000000
265033408,-88.875000000
265812918,-86.375000000
266592428,-86.375000000
267371938,-89.406249984
268151448,-88.406249984
268930958,-89.406249984
269710468,-87.406249984
270489978,-86.906249984
271269488,-86.406249984
272048998,-86.906249984
272828508,-89.906249984
273608018,-89.406249984
274387528,-88.906249984
275167038,-90.406249984
275946548,-88.437500000
276726058,-89.937500032
277505568,-90.937500032
278285078,-89.937500032
279064588,-88.437500000
279844098,-91.937500032
280623608,-88.437500000
281403118,-87.937500032
282182628,-87.937500032
282962138,-89.468750016
283741648,-88.468750016
284521158,-87.968750016
285300668,-89.468750016
286080178,-86.968750016
286859688,-88.968750016
287639198,-88.468750016
288418708,-88.468750016
289198218,-87.468750016
289977728,-89.500000000
290757238,-88.500000000
291536748,-89.500000000
292316258,-90.000000000
293095768,-91.000000000
293875278,-92.500000000
294654788,-89.500000000
