frequencia_hz,amplitude_dbm
0,7.906249984
779510,-27.281249984
1559020,-87.937500032
2338530,-87.437500000
3118040,-85.468750016
3897550,-85.500000000
4677060,-85.531249984
5456570,-83.062500000
6236080,-82.562499968
7015590,-82.625000000
7795100,-84.156250000
8574610,-82.687500032
9354120,-80.187500000
10133630,-81.718750016
10913140,-83.750000000
11692650,-86.281249984
12472160,-83.812499968
13251670,-86.843750016
14031180,-84.843750016
14810690,-83.906249984
15590200,-85.406249984
16369710,-86.937500032
17149220,-86.468750016
17928731,-86.000000000
18708241,-82.531249984
19487751,-85.562499968
20267261,-83.093750000
21046771,-84.062500000
21826281,-83.031250000
22605791,-76.531249984
23385301,-75.500000000
24164811,-75.968750016
24944321,-77.937500032
25723831,-76.906249984
26503341,-74.406249984
27282851,-78.375000000
28062361,-79.343750016
28841871,-78.312500000
29621381,-83.281249984
30400891,-86.250000000
31180401,-79.750000000
31959911,-80.750000000
32739421,-78.281249984
33518931,-75.281249984
34298441,-74.281249984
35077951,-76.281249984
35857461,-73.812499968
36636971,-71.312500000
37416481,-72.312500000
38195991,-71.843750016
38975501,-71.343750016
39755011,-75.343750016
40534521,-80.343750016
41314031,-85.875000000
42093541,-84.875000000
42873051,-82.375000000
43652561,-80.906249984
44432071,-78.406249984
45211581,-76.406249984
45991091,-75.937500032
46770601,-75.937500032
47550111,-77.437500000
48329621,-73.437500000
49109131,-69.968750016
49888641,-68.968750016
50668151,-70.968750016
51447661,-73.468750016
52227171,-71.000000000
53006682,-77.500000000
53786192,-85.500000000
54565702,-87.531249984
55345212,-81.531249984
56124722,-74.031250000
56904232,-73.562499968
57683742,-69.062500000
58463252,-71.062500000
59242762,-67.062500000
60022272,-67.593750016
60801782,-67.593750016
61581292,-69.093750000
62360802,-72.093750000
63140312,-86.625000000
63919822,-84.625000000
64699332,-81.625000000
65478842,-78.156250000
66258352,-75.656249984
67037862,-75.156250000
67817372,-76.156250000
68596882,-79.687500032
69376392,-84.187500000
70155902,-84.187500000
70935412,-74.718750016
71714922,-71.718750016
72494432,-69.218750000
73273942,-66.750000000
74053452,-64.750000000
74832962,-65.250000000
75612472,-64.250000000
76391982,-65.781249984
77171492,-60.281249984
77951002,-61.281249984
78730512,-62.812499968
79510022,-65.812499968
80289532,-64.812499968
81069042,-70.312500000
81848552,-79.843750016
82628062,-81.343750016
83407572,-76.343750016
84187082,-68.375000000
84966592,-64.375000000
85746102,-62.875000000
86525612,-67.406249984
87305122,-67.406249984
88084633,-63.406249984
88864143,-63.406249984
89643653,-63.937500032
90423163,-62.937500032
91202673,-65.937500032
91982183,-66.437500000
92761693,-75.468750016
93541203,-84.968750016
94320713,-83.468750016
95100223,-78.000000000
95879733,-70.500000000
96659243,-64.000000000
97438753,-62.000000000
98218263,-62.031250000
98997773,-61.031250000
99777283,-60.031250000
100556793,-61.062500000
101336303,-64.562499968
102115813,-67.562499968
102895323,-69.562499968
103674833,-83.562499968
104454343,-85.562499968
105233853,-71.031250000
106013363,-68.531249984
106792873,-66.531249984
107572383,-62.531249984
108351893,-61.031250000
109131403,-67.000000000
109910913,-71.500000000
110690423,-72.500000000
111469933,-83.500000000
112249443,-86.000000000
113028953,-70.468750016
113808463,-65.968750016
114587973,-67.968750016
115367483,-62.468750016
116146993,-61.468750016
116926503,-62.968750016
117706013,-68.437500000
118485523,-67.937500032
119265033,-81.437500000
120044543,-73.437500000
120824053,-64.437500000
121603563,-68.906249984
122383073,-63.906249984
123162584,-64.906249984
123942094,-68.906249984
124721604,-68.406249984
125501114,-77.406249984
126280624,-88.875000000
127060134,-85.375000000
127839644,-72.375000000
128619154,-70.375000000
129398664,-67.875000000
130178174,-65.343750016
130957684,-68.343750016
131737194,-70.343750016
132516704,-72.343750016
133296214,-74.843750016
134075724,-84.843750016
134855234,-86.312500000
135634744,-76.312500000
136414254,-70.312500000
137193764,-71.812499968
137973274,-69.312500000
138752784,-70.312500000
139532294,-70.281249984
140311804,-74.781249984
141091314,-75.281249984
141870824,-85.781249984
142650334,-87.281249984
143429844,-80.750000000
144209354,-74.750000000
144988864,-71.250000000
145768374,-67.750000000
146547884,-70.750000000
147327394,-70.750000000
148106904,-71.718750016
148886414,-77.218750000
149665924,-84.718750016
150445434,-87.218750000
151224944,-78.718750016
152004454,-76.687500032
152783964,-74.187500000
153563474,-70.187500000
154342984,-70.187500000
155122494,-74.187500000
155902004,-74.156250000
156681514,-79.156250000
