frequencia_hz,amplitude_dbm
0,8.312500000
779510,-27.375000000
1559020,-86.031250000
2338530,-84.531249984
3118040,-83.562499968
3897550,-86.593750016
4677060,-87.125000000
5456570,-85.156250000
6236080,-84.187500000
7015590,-88.687500032
7795100,-86.250000000
8574610,-87.250000000
9354120,-91.781249984
10133630,-89.812499968
10913140,-90.343750016
11692650,-84.375000000
12472160,-89.906249984
13251670,-91.937500032
14031180,-89.468750016
14810690,-88.500000000
15590200,-88.000000000
16369710,-88.562499968
17149220,-86.562499968
17928731,-92.093750000
18708241,-85.625000000
19487751,-87.656249984
20267261,-89.187500000
21046771,-87.656249984
21826281,-90.656249984
22605791,-92.093750000
23385301,-91.593750016
24164811,-91.062500000
24944321,-88.531249984
25723831,-91.500000000
26503341,-88.468750016
27282851,-91.468750016
28062361,-91.437500000
28841871,-89.906249984
29621381,-86.875000000
30400891,-89.343750016
31180401,-88.843750016
31959911,-89.343750016
32739421,-88.843750016
33518931,-88.875000000
34298441,-87.875000000
35077951,-91.375000000
35857461,-92.406249984
36636971,-90.406249984
37416481,-93.406249984
38195991,-92.937500032
38975501,-87.437500000
39755011,-88.937500032
40534521,-89.437500000
41314031,-87.468750016
42093541,-87.968750016
42873051,-87.468750016
43652561,-88.968750016
44432071,-87.500000000
45211581,-85.500000000
45991091,-87.000000000
46770601,-90.031250000
47550111,-89.031250000
48329621,-88.531249984
49109131,-88.562499968
49888641,-89.062500000
50668151,-89.062500000
51447661,-88.562499968
52227171,-91.593750016
53006682,-87.593750016
53786192,-89.593750016
54565702,-90.625000000
55345212,-87.625000000
56124722,-87.625000000
56904232,-88.625000000
57683742,-87.656249984
58463252,-88.656249984
59242762,-87.156250000
60022272,-88.687500032
60801782,-90.187500000
61581292,-86.687500032
62360802,-89.218750000
63140312,-89.218750000
63919822,-86.218750000
64699332,-85.218750000
65478842,-86.750000000
66258352,-85.250000000
67037862,-83.250000000
67817372,-83.750000000
68596882,-82.781249984
69376392,-83.781249984
70155902,-85.281249984
70935412,-85.312500000
71714922,-85.312500000
72494432,-83.812499968
73273942,-86.843750016
74053452,-89.343750016
74832962,-84.343750016
75612472,-84.843750016
76391982,-85.375000000
77171492,-85.875000000
77951002,-81.375000000
78730512,-80.406249984
79510022,-80.406249984
80289532,-82.906249984
81069042,-84.437500000
81848552,-84.937500032
82628062,-86.437500000
83407572,-85.937500032
84187082,-85.468750016
84966592,-84.968750016
85746102,-84.468750016
86525612,-85.968750016
87305122,-85.000000000
88084633,-79.500000000
88864143,-80.500000000
89643653,-78.031250000
90423163,-81.531249984
91202673,-82.031250000
91982183,-76.531249984
92761693,-78.562499968
93541203,-71.562499968
94320713,-71.562499968
95100223,-71.593750016
95879733,-83.593750016
96659243,-84.093750000
97438753,-82.593750016
98218263,-81.625000000
98997773,-77.625000000
99777283,-79.125000000
100556793,-78.156250000
101336303,-78.656249984
102115813,-75.156250000
102895323,-77.156250000
103674833,-84.156250000
104454343,-85.125000000
105233853,-82.625000000
106013363,-84.125000000
106792873,-84.125000000
107572383,-85.625000000
108351893,-85.125000000
109131403,-81.093750000
109910913,-86.093750000
110690423,-86.593750016
111469933,-88.593750016
112249443,-89.593750016
113028953,-87.593750016
113808463,-89.062500000
114587973,-84.562499968
115367483,-83.062500000
116146993,-84.562499968
116926503,-86.062500000
117706013,-89.031250000
118485523,-86.031250000
119265033,-84.531249984
120044543,-87.531249984
120824053,-87.531249984
121603563,-86.500000000
122383073,-84.000000000
123162584,-85.500000000
123942094,-83.000000000
124721604,-86.500000000
125501114,-87.000000000
126280624,-84.468750016
127060134,-88.468750016
127839644,-85.468750016
128619154,-87.968750016
129398664,-87.968750016
130178174,-85.937500032
130957684,-84.937500032
131737194,-85.437500000
132516704,-85.437500000
133296214,-86.437500000
134075724,-86.937500032
134855234,-88.906249984
135634744,-86.406249984
136414254,-88.406249984
137193764,-86.906249984
137973274,-88.406249984
138752784,-85.875000000
139532294,-83.375000000
140311804,-87.375000000
141091314,-86.375000000
141870824,-88.875000000
142650334,-88.875000000
143429844,-90.843750016
144209354,-91.343750016
144988864,-90.343750016
145768374,-90.843750016
146547884,-88.843750016
147327394,-87.843750016
148106904,-86.812499968
148886414,-87.812499968
149665924,-90.812499968
150445434,-88.312500000
151224944,-88.312500000
152004454,-90.281249984
152783964,-89.281249984
153563474,-85.781249984
154342984,-87.781249984
155122494,-86.281249984
155902004,-85.250000000
156681514,-88.750000000
157461024,-89.250000000
158240535,-89.750000000
159020045,-91.250000000
159799555,-87.250000000
160579065,-87.218750000
161358575,-85.718750016
162138085,-86.218750000
162917595,-85.687500032
163697105,-87.187500000
164476615,-86.687500032
165256125,-87.656249984
166035635,-91.156250000
166815145,-91.656249984
167594655,-91.656249984
168374165,-87.625000000
169153675,-85.125000000
169933185,-85.125000000
170712695,-85.593750016
171492205,-85.093750000
172271715,-85.093750000
173051225,-87.062500000
173830735,-88.062500000
174610245,-90.562499968
175389755,-88.031250000
176169265,-87.531249984
176948775,-89.531249984
177728285,-87.500000000
178507795,-88.000000000
179287305,-88.500000000
180066815,-87.000000000
180846325,-89.468750016
181625835,-86.968750016
182405345,-88.468750016
183184855,-90.937500032
183964365,-87.937500032
184743875,-87.937500032
185523385,-87.906249984
186302895,-87.906249984
187082405,-87.406249984
187861915,-90.375000000
188641425,-90.875000000
189420935,-92.875000000
190200445,-91.343750016
190979955,-90.843750016
191759465,-89.843750016
192538976,-89.812499968
193318486,-89.812499968
194097996,-90.812499968
194877506,-91.312500000
195657016,-89.281249984
196436526,-89.781249984
197216036,-92.281249984
197995546,-89.750000000
198775056,-90.750000000
199554566,-91.250000000
200334076,-87.718750016
201113586,-88.218750000
201893096,-86.718750016
202672606,-92.718750016
203452116,-90.187500000
204231626,-91.687500032
205011136,-90.156250000
205790646,-93.156250000
206570156,-89.156250000
207349666,-88.656249984
208129176,-86.625000000
208908686,-88.625000000
209688196,-89.125000000
210467706,-87.593750016
211247216,-87.593750016
212026726,-89.093750000
212806236,-88.562499968
213585746,-87.562499968
214365256,-93.062500000
215144766,-89.562499968
215924276,-87.531249984
216703786,-89.531249984
217483296,-89.531249984
218262806,-89.500000000
219042316,-88.500000000
219821826,-88.968750016
220601336,-87.968750016
221380846,-89.468750016
222160356,-88.468750016
222939866,-89.437500000
223719376,-86.937500032
224498886,-86.437500000
225278396,-91.406249984
226057906,-90.406249984
226837416,-90.406249984
227616927,-85.375000000
228396437,-89.375000000
229175947,-87.375000000
229955457,-87.843750016
230734967,-88.843750016
231514477,-88.343750016
232293987,-85.843750016
233073497,-86.843750016
233853007,-88.843750016
234632517,-91.343750016
235412027,-88.343750016
236191537,-88.843750016
236971047,-89.843750016
237750557,-88.375000000
238530067,-87.875000000
239309577,-88.875000000
240089087,-86.875000000
240868597,-87.875000000
241648107,-85.875000000
242427617,-88.875000000
243207127,-90.375000000
243986637,-87.875000000
244766147,-89.375000000
245545657,-87.906249984
246325167,-87.406249984
247104677,-87.906249984
247884187,-85.406249984
248663697,-85.906249984
249443207,-89.906249984
250222717,-85.906249984
251002227,-87.406249984
251781737,-90.406249984
252561247,-91.906249984
253340757,-87.937500032
254120267,-89.437500000
254899777,-90.437500000
255679287,-88.437500000
256458797,-86.937500032
257238307,-87.937500032
258017817,-85.437500000
258797327,-88.437500000
259576837,-88.437500000
260356347,-86.968750016
261135857,-88.468750016
261915367,-88.468750016
262694878,-86.968750016
263474388,-89.968750016
264253898,-86.968750016
265033408,-89.468750016
265812918,-88.968750016
266592428,-87.468750016
267371938,-87.468750016
268151448,-89.000000000
268930958,-89.000000000
269710468,-88.000000000
270489978,-91.000000000
271269488,-86.500000000
272048998,-87.500000000
272828508,-88.500000000
273608018,-88.500000000
274387528,-87.500000000
275167038,-89.500000000
275946548,-86.531249984
276726058,-89.031250000
277505568,-88.031250000
278285078,-85.031250000
279064588,-85.531249984
279844098,-88.031250000
280623608,-87.031250000
281403118,-89.031250000
282182628,-87.031250000
282962138,-87.062500000
283741648,-87.062500000
284521158,-86.562499968
285300668,-87.062500000
286080178,-89.062500000
286859688,-88.562499968
287639198,-89.062500000
288418708,-87.062500000
289198218,-88.562499968
289977728,-89.562499968
290757238,-87.593750016
291536748,-89.093750000
292316258,-88.593750016
293095768,-89.093750000
293875278,-87.593750016
294654788,-87.593750016
295434298,-87.062500000
296213808,-88.062500000
296993318,-86.062500000
297772829,-89.062500000
298552339,-85.562499968
299331849,-83.062500000
300111359,-86.531249984
300890869,-82.031250000
301670379,-82.031250000
302449889,-87.031250000
303229399,-87.031250000
304008909,-85.500000000
304788419,-90.000000000
305567929,-88.500000000
306347439,-88.500000000
307126949,-90.500000000
307906459,-88.500000000
308685969,-89.968750016
309465479,-89.468750016
310244989,-89.968750016
311024499,-88.468750016
311804009,-88.968750016
