frequencia_hz,amplitude_dbm
0,8.281249984
779510,-27.406249984
1559020,-84.062500000
2338530,-83.062500000
3118040,-85.593750016
3897550,-89.125000000
4677060,-88.656249984
5456570,-85.687500032
6236080,-82.187500000
7015590,-84.718750016
7795100,-89.250000000
8574610,-84.281249984
9354120,-89.812499968
10133630,-88.343750016
10913140,-89.875000000
11692650,-86.906249984
12472160,-89.437500000
13251670,-88.468750016
14031180,-90.500000000
14810690,-85.531249984
15590200,-87.031250000
16369710,-88.593750016
17149220,-85.093750000
17928731,-93.625000000
18708241,-86.156250000
19487751,-89.687500032
20267261,-86.718750016
21046771,-87.718750016
21826281,-89.687500032
22605791,-89.625000000
23385301,-92.125000000
24164811,-91.593750016
24944321,-91.562499968
25723831,-89.531249984
26503341,-88.500000000
27282851,-86.968750016
28062361,-87.968750016
28841871,-85.937500032
29621381,-86.906249984
30400891,-89.875000000
31180401,-91.375000000
31959911,-90.375000000
32739421,-85.875000000
33518931,-87.906249984
34298441,-88.906249984
35077951,-85.906249984
35857461,-86.437500000
36636971,-88.937500032
37416481,-88.437500000
38195991,-87.468750016
38975501,-88.468750016
39755011,-88.468750016
40534521,-91.968750016
41314031,-91.500000000
42093541,-89.500000000
42873051,-88.000000000
43652561,-89.031250000
44432071,-89.531249984
45211581,-87.531249984
45991091,-89.531249984
46770601,-91.062500000
47550111,-92.562499968
48329621,-88.562499968
49109131,-91.093750000
49888641,-87.593750016
50668151,-93.593750016
51447661,-88.093750000
52227171,-90.625000000
53006682,-89.625000000
53786192,-90.625000000
54565702,-89.656249984
55345212,-88.656249984
56124722,-87.656249984
56904232,-89.187500000
57683742,-87.687500032
58463252,-87.187500000
59242762,-87.187500000
60022272,-88.218750000
60801782,-90.718750016
61581292,-89.218750000
62360802,-90.250000000
63140312,-88.250000000
63919822,-87.250000000
64699332,-84.250000000
65478842,-85.781249984
66258352,-82.781249984
67037862,-82.281249984
67817372,-82.312500000
68596882,-79.312500000
69376392,-77.812499968
70155902,-78.812499968
70935412,-78.343750016
71714922,-80.843750016
72494432,-80.343750016
73273942,-82.875000000
74053452,-83.875000000
74832962,-90.375000000
75612472,-84.375000000
76391982,-88.906249984
77171492,-90.406249984
77951002,-89.406249984
78730512,-86.437500000
79510022,-81.937500032
80289532,-82.937500032
81069042,-83.968750016
81848552,-82.968750016
82628062,-84.968750016
83407572,-85.968750016
84187082,-85.500000000
84966592,-85.000000000
85746102,-86.500000000
86525612,-86.031250000
87305122,-85.031250000
88084633,-87.031250000
88864143,-87.031250000
89643653,-88.062500000
90423163,-81.062500000
91202673,-77.562499968
91982183,-76.062500000
92761693,-71.093750000
93541203,-75.093750000
94320713,-79.093750000
95100223,-80.125000000
95879733,-81.125000000
96659243,-83.125000000
97438753,-85.625000000
98218263,-86.156250000
98997773,-88.156250000
99777283,-88.656249984
100556793,-90.687500032
101336303,-88.187500000
102115813,-88.687500032
102895323,-87.187500000
103674833,-87.187500000
104454343,-90.656249984
105233853,-88.656249984
106013363,-89.156250000
106792873,-87.156250000
107572383,-89.156250000
108351893,-92.156250000
109131403,-91.625000000
109910913,-88.625000000
110690423,-86.625000000
111469933,-87.125000000
112249443,-88.625000000
113028953,-87.125000000
113808463,-89.093750000
114587973,-88.593750016
115367483,-90.593750016
116146993,-90.093750000
116926503,-88.593750016
117706013,-87.562499968
118485523,-88.062500000
119265033,-88.562499968
120044543,-86.062500000
120824053,-87.562499968
121603563,-88.562499968
122383073,-90.531249984
123162584,-85.531249984
123942094,-89.031250000
124721604,-90.031250000
125501114,-86.531249984
126280624,-86.500000000
127060134,-87.500000000
127839644,-87.500000000
128619154,-86.000000000
129398664,-90.000000000
130178174,-88.000000000
130957684,-90.968750016
131737194,-89.968750016
132516704,-89.968750016
133296214,-86.968750016
134075724,-87.468750016
134855234,-83.437500000
135634744,-87.437500000
136414254,-85.937500032
137193764,-87.937500032
137973274,-87.437500000
138752784,-87.906249984
139532294,-88.906249984
140311804,-88.406249984
141091314,-85.906249984
141870824,-85.906249984
142650334,-87.906249984
143429844,-89.375000000
144209354,-89.875000000
144988864,-88.875000000
145768374,-86.375000000
146547884,-86.875000000
147327394,-87.375000000
148106904,-89.343750016
148886414,-86.843750016
149665924,-83.343750016
150445434,-83.343750016
151224944,-83.343750016
152004454,-86.312500000
152783964,-88.312500000
153563474,-85.312500000
154342984,-89.812499968
155122494,-88.812499968
155902004,-87.281249984
156681514,-93.281249984
157461024,-88.281249984
158240535,-89.781249984
159020045,-89.781249984
159799555,-86.781249984
160579065,-89.250000000
161358575,-91.250000000
162138085,-87.750000000
162917595,-87.718750016
163697105,-86.718750016
164476615,-90.718750016
165256125,-90.187500000
166035635,-89.187500000
166815145,-86.687500032
167594655,-91.156250000
168374165,-87.656249984
169153675,-87.656249984
169933185,-88.656249984
170712695,-92.125000000
171492205,-88.625000000
172271715,-89.625000000
173051225,-88.093750000
173830735,-88.593750016
174610245,-88.593750016
175389755,-87.562499968
176169265,-87.062500000
176948775,-87.062500000
177728285,-87.031250000
178507795,-88.531249984
179287305,-88.531249984
180066815,-88.000000000
180846325,-85.500000000
181625835,-84.500000000
182405345,-86.000000000
183184855,-89.468750016
183964365,-85.968750016
184743875,-88.968750016
185523385,-89.437500000
186302895,-92.437500000
187082405,-90.937500032
187861915,-89.906249984
188641425,-91.906249984
189420935,-88.406249984
190200445,-88.375000000
190979955,-92.375000000
191759465,-89.375000000
192538976,-89.875000000
193318486,-89.843750016
194097996,-90.343750016
194877506,-90.843750016
195657016,-89.812499968
196436526,-91.812499968
197216036,-91.812499968
197995546,-90.281249984
198775056,-88.281249984
199554566,-87.781249984
200334076,-90.750000000
201113586,-89.750000000
201893096,-89.750000000
202672606,-88.750000000
203452116,-89.218750000
204231626,-89.718750016
205011136,-91.718750016
205790646,-87.187500000
206570156,-91.187500000
207349666,-92.687500032
208129176,-89.156250000
208908686,-92.656249984
209688196,-89.156250000
210467706,-90.125000000
211247216,-90.625000000
212026726,-88.625000000
212806236,-89.593750016
213585746,-88.093750000
214365256,-88.093750000
215144766,-87.593750016
215924276,-89.062500000
216703786,-89.062500000
217483296,-87.562499968
218262806,-90.531249984
219042316,-89.031250000
219821826,-89.031250000
220601336,-89.000000000
221380846,-89.000000000
222160356,-87.500000000
222939866,-88.968750016
223719376,-87.468750016
224498886,-88.968750016
225278396,-85.937500032
226057906,-87.937500032
226837416,-87.937500032
227616927,-87.906249984
228396437,-85.406249984
229175947,-84.906249984
229955457,-83.406249984
230734967,-86.875000000
231514477,-87.375000000
232293987,-85.875000000
233073497,-86.875000000
233853007,-88.875000000
234632517,-85.375000000
235412027,-87.875000000
236191537,-87.375000000
236971047,-87.375000000
237750557,-86.406249984
238530067,-86.406249984
239309577,-88.406249984
240089087,-88.906249984
240868597,-87.906249984
241648107,-88.406249984
242427617,-86.406249984
243207127,-86.406249984
243986637,-87.906249984
244766147,-86.906249984
245545657,-84.937500032
246325167,-84.937500032
247104677,-86.437500000
247884187,-86.437500000
248663697,-85.437500000
249443207,-86.937500032
250222717,-85.437500000
251002227,-83.437500000
251781737,-87.937500032
252561247,-87.468750016
253340757,-81.968750016
254120267,-84.468750016
254899777,-85.968750016
255679287,-84.468750016
256458797,-86.968750016
257238307,-84.968750016
258017817,-86.468750016
258797327,-88.968750016
259576837,-88.468750016
260356347,-89.000000000
261135857,-84.000000000
261915367,-87.500000000
262694878,-84.500000000
263474388,-86.000000000
264253898,-89.500000000
265033408,-86.000000000
265812918,-86.500000000
266592428,-90.500000000
267371938,-88.531249984
268151448,-85.531249984
268930958,-89.031250000
269710468,-88.531249984
270489978,-89.031250000
271269488,-91.031250000
272048998,-86.531249984
272828508,-88.531249984
273608018,-85.031250000
274387528,-89.031250000
275167038,-87.031250000
275946548,-82.062500000
276726058,-84.562499968
277505568,-84.062500000
278285078,-85.562499968
279064588,-82.062500000
279844098,-84.062500000
280623608,-85.062500000
281403118,-86.062500000
282182628,-85.062500000
282962138,-87.593750016
283741648,-87.093750000
284521158,-77.593750016
285300668,-82.593750016
286080178,-85.093750000
286859688,-87.093750000
287639198,-89.093750000
288418708,-87.093750000
289198218,-87.593750016
289977728,-89.093750000
290757238,-88.625000000
291536748,-88.125000000
292316258,-88.625000000
293095768,-86.125000000
293875278,-88.625000000
294654788,-85.593750016
295434298,-87.093750000
296213808,-88.093750000
296993318,-84.093750000
297772829,-88.093750000
298552339,-87.093750000
299331849,-87.062500000
300111359,-85.562499968
300890869,-88.062500000
301670379,-86.562499968
302449889,-87.062500000
303229399,-87.062500000
304008909,-89.031250000
304788419,-87.031250000
305567929,-89.031250000
306347439,-87.531249984
307126949,-87.531249984
307906459,-90.531249984
308685969,-86.500000000
309465479,-87.500000000
310244989,-87.500000000
311024499,-90.500000000
311804009,-88.000000000
312583519,-88.000000000
313363029,-88.968750016
314142539,-88.468750016
314922049,-89.968750016
315701559,-88.968750016
316481069,-88.968750016
317260579,-87.468750016
318040089,-90.437500000
318819599,-84.937500032
319599109,-89.937500032
320378619,-88.437500000
321158129,-89.937500032
321937639,-86.406249984
322717149,-88.406249984
323496659,-88.906249984
324276169,-89.406249984
325055679,-88.906249984
325835189,-90.406249984
326614699,-87.906249984
327394209,-87.375000000
328173719,-88.875000000
328953229,-90.375000000
329732739,-90.875000000
330512249,-89.875000000
331291759,-87.875000000
332071269,-89.343750016
332850780,-90.843750016
333630290,-89.843750016
334409800,-87.343750016
335189310,-89.843750016
335968820,-89.343750016
336748330,-91.312500000
337527840,-90.312500000
338307350,-92.312500000
339086860,-91.812499968
339866370,-87.812499968
340645880,-91.781249984
341425390,-90.781249984
342204900,-91.281249984
342984410,-91.281249984
343763920,-90.281249984
344543430,-88.281249984
345322940,-88.250000000
346102450,-88.750000000
346881960,-86.250000000
347661470,-88.250000000
348440980,-89.250000000
349220490,-88.750000000
350000000,-90.218750000
