frequencia_hz,amplitude_dbm
225000000,-91.250000000
225779510,-88.750000000
226559020,-87.250000000
227338530,-89.218750000
228118040,-90.718750016
228897550,-89.218750000
229677060,-89.718750016
230456570,-86.187500000
231236080,-89.187500000
232015590,-89.187500000
232795100,-89.687500032
233574610,-91.187500000
234354120,-86.687500032
235133630,-92.187500000
235913140,-88.187500000
236692650,-89.187500000
237472160,-87.718750016
238251670,-91.718750016
239031180,-90.218750000
239810690,-88.218750000
240590200,-86.718750016
241369710,-88.218750000
242149220,-86.718750016
242928731,-90.218750000
243708241,-91.218750000
244487751,-87.718750016
245267261,-89.750000000
246046771,-90.250000000
246826281,-89.250000000
247605791,-86.750000000
248385301,-88.250000000
249164811,-87.750000000
249944321,-86.750000000
250723831,-86.750000000
251503341,-87.750000000
252282851,-92.250000000
253062361,-88.281249984
253841871,-87.281249984
254621381,-88.781249984
255400891,-89.781249984
256180401,-90.781249984
256959911,-91.281249984
257739421,-88.781249984
258518931,-89.781249984
259298441,-91.781249984
260077951,-88.312500000
260857461,-89.312500000
261636971,-86.812499968
262416481,-87.312500000
263195991,-87.812499968
263975501,-86.312500000
264755011,-86.812499968
265534521,-86.812499968
266314031,-89.312500000
267093541,-87.812499968
267873051,-89.343750016
268652561,-86.843750016
269432071,-88.843750016
270211581,-89.343750016
270991091,-88.343750016
271770601,-87.343750016
272550111,-89.343750016
273329621,-89.343750016
274109131,-91.343750016
274888641,-88.843750016
275668151,-88.875000000
276447661,-89.375000000
277227171,-89.375000000
278006682,-87.875000000
278786192,-89.875000000
279565702,-87.875000000
280345212,-90.875000000
281124722,-88.375000000
281904232,-89.375000000
282683742,-89.406249984
283463252,-86.406249984
284242762,-85.406249984
285022272,-85.906249984
285801782,-89.406249984
286581292,-88.906249984
287360802,-89.406249984
288140312,-90.406249984
288919822,-91.406249984
289699332,-89.406249984
290478842,-88.937500032
291258352,-88.437500000
292037862,-89.437500000
292817372,-89.437500000
293596882,-91.437500000
294376392,-89.437500000
295155902,-87.906249984
295935412,-84.906249984
296714922,-87.406249984
297494432,-87.406249984
298273942,-89.406249984
299053452,-88.875000000
299832962,-89.375000000
300612472,-91.375000000
301391982,-88.875000000
302171492,-88.875000000
302951002,-90.875000000
303730512,-92.375000000
304510022,-89.343750016
305289532,-90.343750016
306069042,-86.843750016
306848552,-89.843750016
307628062,-85.843750016
308407572,-88.312500000
309187082,-86.312500000
309966592,-88.812499968
310746102,-85.812499968
311525612,-87.312500000
312305122,-84.812499968
313084633,-89.812499968
313864143,-85.781249984
314643653,-88.781249984
315423163,-87.781249984
316202673,-89.281249984
316982183,-89.281249984
317761693,-89.250000000
318541203,-88.750000000
319320713,-90.250000000
320100223,-91.750000000
320879733,-92.750000000
