frequencia_hz,amplitude_dbm
225000000,-84.781249984
225779510,-85.781249984
226559020,-88.781249984
227338530,-87.281249984
228118040,-86.750000000
228897550,-87.250000000
229677060,-86.250000000
230456570,-87.218750000
231236080,-86.718750016
232015590,-90.218750000
232795100,-86.718750016
233574610,-88.218750000
234354120,-88.718750016
235133630,-88.718750016
235913140,-87.218750000
236692650,-88.718750016
237472160,-89.718750016
238251670,-86.750000000
239031180,-86.750000000
239810690,-89.750000000
240590200,-88.250000000
241369710,-88.750000000
242149220,-88.750000000
242928731,-87.250000000
243708241,-89.750000000
244487751,-90.750000000
245267261,-86.781249984
246046771,-87.781249984
246826281,-88.281249984
247605791,-86.781249984
248385301,-84.781249984
249164811,-89.281249984
249944321,-86.281249984
250723831,-86.281249984
251503341,-89.781249984
252282851,-87.281249984
253062361,-87.812499968
253841871,-88.812499968
254621381,-89.812499968
255400891,-91.812499968
256180401,-89.812499968
256959911,-87.312500000
257739421,-85.312500000
258518931,-87.812499968
259298441,-88.312500000
260077951,-88.812499968
260857461,-87.843750016
261636971,-85.843750016
262416481,-88.843750016
263195991,-87.843750016
263975501,-84.843750016
264755011,-88.343750016
265534521,-90.343750016
266314031,-89.343750016
267093541,-85.843750016
267873051,-87.875000000
268652561,-88.375000000
269432071,-87.375000000
270211581,-85.875000000
270991091,-84.375000000
271770601,-87.875000000
272550111,-86.875000000
273329621,-87.375000000
274109131,-85.375000000
274888641,-86.875000000
275668151,-86.906249984
276447661,-87.406249984
277227171,-85.406249984
278006682,-86.406249984
278786192,-86.906249984
279565702,-85.906249984
280345212,-85.906249984
281124722,-87.406249984
281904232,-87.406249984
282683742,-84.937500032
283463252,-89.937500032
284242762,-83.937500032
285022272,-86.937500032
285801782,-91.937500032
286581292,-91.437500000
287360802,-88.437500000
288140312,-89.437500000
288919822,-90.937500032
289699332,-88.437500000
290478842,-91.968750016
291258352,-89.968750016
292037862,-86.968750016
292817372,-89.968750016
293596882,-88.968750016
294376392,-87.968750016
295155902,-85.437500000
295935412,-87.437500000
296714922,-89.437500000
297494432,-85.937500032
298273942,-87.437500000
299053452,-89.937500032
299832962,-87.406249984
300612472,-88.406249984
301391982,-89.406249984
302171492,-88.906249984
302951002,-90.406249984
303730512,-87.875000000
304510022,-88.375000000
305289532,-88.375000000
306069042,-88.875000000
306848552,-87.375000000
307628062,-88.875000000
308407572,-86.875000000
309187082,-86.843750016
309966592,-87.343750016
310746102,-85.343750016
311525612,-82.843750016
312305122,-85.843750016
313084633,-90.812499968
313864143,-89.312500000
314643653,-87.312500000
315423163,-91.812499968
316202673,-87.312500000
316982183,-89.312500000
317761693,-88.781249984
318541203,-88.781249984
319320713,-89.281249984
320100223,-91.281249984
320879733,-90.281249984
321659243,-89.281249984
322438753,-90.250000000
323218263,-92.250000000
323997773,-90.750000000
324777283,-89.750000000
325556793,-89.250000000
326336303,-88.750000000
327115813,-90.218750000
327895323,-88.218750000
328674833,-89.718750016
329454343,-92.218750000
330233853,-91.718750016
331013363,-89.718750016
331792873,-90.687500032
332572383,-90.687500032
333351893,-90.687500032
334131403,-92.687500032
334910913,-88.187500000
335690423,-91.156250000
336469933,-92.656249984
337249443,-90.156250000
338028953,-87.656249984
338808463,-88.656249984
339587973,-88.156250000
340367483,-91.125000000
341146993,-90.625000000
341926503,-89.625000000
342706013,-92.125000000
343485523,-89.625000000
344265033,-90.125000000
345044543,-91.093750000
345824053,-89.593750016
346603563,-90.593750016
347383073,-90.593750016
348162584,-89.093750000
348942094,-89.593750016
349721604,-88.562499968
350501114,-88.062500000
351280624,-88.062500000
352060134,-89.062500000
352839644,-90.062500000
353619154,-91.062500000
354398664,-91.031250000
355178174,-88.531249984
355957684,-90.031250000
356737194,-89.531249984
357516704,-90.031250000
358296214,-90.031250000
359075724,-88.500000000
359855234,-89.500000000
360634744,-89.500000000
361414254,-92.000000000
362193764,-88.000000000
362973274,-91.500000000
363752784,-89.968750016
364532294,-90.468750016
365311804,-88.968750016
366091314,-90.468750016
366870824,-89.468750016
367650334,-89.968750016
368429844,-91.937500032
369209354,-90.437500000
369988864,-90.937500032
370768374,-91.437500000
371547884,-93.937500032
372327394,-91.406249984
373106904,-89.906249984
373886414,-92.906249984
374665924,-89.406249984
375445434,-90.906249984
376224944,-91.906249984
377004454,-90.406249984
377783964,-91.375000000
378563474,-91.375000000
379342984,-92.375000000
380122494,-89.375000000
380902004,-90.875000000
381681514,-91.375000000
382461024,-91.843750016
383240535,-93.843750016
384020045,-89.343750016
384799555,-90.843750016
385579065,-91.343750016
386358575,-91.812499968
387138085,-91.812499968
387917595,-93.312500000
388697105,-91.312500000
389476615,-88.812499968
390256125,-89.812499968
391035635,-90.781249984
391815145,-90.281249984
392594655,-91.281249984
393374165,-91.781249984
394153675,-93.281249984
394933185,-91.781249984
395712695,-93.250000000
396492205,-91.750000000
397271715,-90.250000000
398051225,-90.750000000
398830735,-93.750000000
399610245,-89.250000000
400389755,-92.218750000
401169265,-90.718750016
401948775,-93.218750000
402728285,-90.218750000
403507795,-93.218750000
404287305,-91.250000000
405066815,-90.250000000
405846325,-86.750000000
406625835,-91.250000000
407405345,-90.250000000
408184855,-91.281249984
408964365,-92.281249984
409743875,-90.281249984
410523385,-88.281249984
411302895,-90.781249984
412082405,-91.781249984
412861915,-90.812499968
413641425,-88.312500000
414420935,-94.312500000
415200445,-90.812499968
415979955,-89.812499968
416759465,-91.843750016
417538976,-91.343750016
418318486,-91.343750016
419097996,-91.343750016
419877506,-91.875000000
420657016,-91.875000000
421436526,-89.875000000
422216036,-89.875000000
422995546,-94.375000000
423775056,-89.875000000
424554566,-91.406249984
425334076,-90.406249984
426113586,-89.406249984
426893096,-92.406249984
427672606,-91.906249984
428452116,-90.937500032
429231626,-88.937500032
430011136,-90.937500032
430790646,-90.437500000
431570156,-89.937500032
432349666,-90.468750016
433129176,-93.968750016
433908686,-90.968750016
434688196,-91.968750016
435467706,-91.968750016
436247216,-89.500000000
437026726,-90.500000000
437806236,-92.000000000
438585746,-90.000000000
439365256,-91.000000000
440144766,-91.500000000
440924276,-90.031250000
441703786,-89.531249984
442483296,-92.531249984
443262806,-93.031250000
444042316,-90.031250000
444821826,-88.062500000
445601336,-89.062500000
446380846,-88.562499968
447160356,-89.562499968
447939866,-88.593750016
448719376,-92.093750000
449498886,-89.593750016
450278396,-91.093750000
451057906,-92.093750000
451837416,-89.593750016
452616927,-91.125000000
453396437,-92.625000000
454175947,-90.125000000
454955457,-91.125000000
455734967,-91.125000000
456514477,-88.656249984
457293987,-90.656249984
458073497,-91.156250000
458853007,-91.156250000
459632517,-90.156250000
460412027,-87.687500032
461191537,-92.187500000
461971047,-90.187500000
462750557,-89.187500000
463530067,-90.687500032
464309577,-88.718750016
465089087,-91.218750000
465868597,-90.218750000
466648107,-90.218750000
467427617,-90.718750016
468207127,-90.750000000
468986637,-91.750000000
469766147,-89.750000000
470545657,-90.750000000
471325167,-89.750000000
472104677,-94.250000000
472884187,-89.281249984
473663697,-91.281249984
474443207,-92.781249984
475222717,-88.781249984
476002227,-91.781249984
476781737,-90.312500000
477561247,-89.812499968
478340757,-88.812499968
479120267,-88.312500000
479899777,-87.812499968
480679287,-88.343750016
481458797,-92.343750016
482238307,-91.843750016
483017817,-89.843750016
483797327,-89.843750016
484576837,-91.375000000
485356347,-89.875000000
486135857,-90.375000000
486915367,-89.875000000
487694878,-90.375000000
488474388,-90.406249984
489253898,-89.406249984
490033408,-90.906249984
490812918,-89.906249984
491592428,-90.406249984
492371938,-90.937500032
493151448,-89.437500000
493930958,-88.937500032
494710468,-89.937500032
495489978,-89.937500032
496269488,-91.968750016
497048998,-88.968750016
